BioSample_s	Library_Name_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	genotype_s	sample_ID_s	tissue_s	treatment_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LoadDate_s	Organism_s	Platform_s	SRA_Study_s	age_s	biomaterial_provider_s	cultivar_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	sample_type_s	source_s
SAMN02769437	WT-R-DR2	1012	760	12-May-15	SRR1293481	SRS616308	WT-R-DR2	wild type	R72	root	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769438	WT-R-DR3	962	724	12-May-15	SRR1293482	SRS616309	WT-R-DR3	wild type	R75	root	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769439	WT-R-RC1	1047	786	12-May-15	SRR1293483	SRS616310	WT-R-RC1	wild type	R65	root	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769440	WT-R-RC2	949	715	12-May-15	SRR1293484	SRS616311	WT-R-RC2	wild type	R66	root	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769441	WT-R-RC3	1416	1006	12-May-15	SRR1293485	SRS616312	WT-R-RC3	wild type	R67	root	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769442	SUT4-R-WW1	1479	1039	12-May-15	SRR1293486	SRS616313	SUT4-R-WW1	SUT4-RNAi transgenic	R86	root	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769443	SUT4-R-WW2	1093	821	12-May-15	SRR1293487	SRS616314	SUT4-R-WW2	SUT4-RNAi transgenic	R87	root	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769444	SUT4-R-WW3	1061	797	12-May-15	SRR1293488	SRS616315	SUT4-R-WW3	SUT4-RNAi transgenic	R88	root	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769445	SUT4-R-DR1	1360	873	22-Jul-15	SRR1293489	SRS616316	SUT4-R-DR1	SUT4-RNAi transgenic	R46	root	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769446	SUT4-R-DR2	1318	846	22-Jul-15	SRR1293490	SRS616317	SUT4-R-DR2	SUT4-RNAi transgenic	R47	root	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769447	SUT4-R-DR3	1165	750	22-Jul-15	SRR1293491	SRS616318	SUT4-R-DR3	SUT4-RNAi transgenic	R56	root	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769448	SUT4-R-RC1	941	707	12-May-15	SRR1293492	SRS616319	SUT4-R-RC1	SUT4-RNAi transgenic	R76	root	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769449	SUT4-R-RC2	1328	949	12-May-15	SRR1293493	SRS616320	SUT4-R-RC2	SUT4-RNAi transgenic	R80	root	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769450	SUT4-R-RC3	1049	788	12-May-15	SRR1293494	SRS616321	SUT4-R-RC3	SUT4-RNAi transgenic	R85	root	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>

